fft,1653217557.696656,create,
dedup,1653217557.7031753,create,
ferret,1653217557.7096524,create,
freqmine,1653217557.7171023,create,
canneal,1653217557.7237935,create,
blackscholes,1653217557.7308726,create,
ferret,1653217557.7396176,exit,
canneal,1653217557.7651343,exit,
dedup,1653217557.7695487,exit,
freqmine,1653217558.7818372,exit,
fft,1653217558.7849212,exit,
blackscholes,1653217559.794649,exit,
blackscholes,1653217559.7966013,exit,
fft,1653217560.8008542,exit,
freqmine,1653217560.803887,exit,
dedup,1653217561.8086588,exit,
canneal,1653217561.811078,exit,
