fft,1653217570.9201443,create,
dedup,1653217570.9239366,create,
ferret,1653217570.9273117,create,
freqmine,1653217570.9306316,create,
canneal,1653217570.933747,create,
blackscholes,1653217570.936946,create,
ferret,1653217570.9403484,exit,
canneal,1653217570.955319,exit,
dedup,1653217570.9585538,exit,
freqmine,1653217571.9668076,exit,
fft,1653217571.9679787,exit,
blackscholes,1653217572.975103,exit,
blackscholes,1653217572.976397,exit,
fft,1653217573.979704,exit,
freqmine,1653217573.9812267,exit,
dedup,1653217574.9844403,exit,
canneal,1653217574.9865763,exit,
