fft,1653221425.7385514,create,
dedup,1653221425.7657933,create,
ferret,1653221425.7987845,create,
freqmine,1653221425.8306687,create,
canneal,1653221425.8604958,create,
blackscholes,1653221425.890458,create,
ferret,1653221426.1343148,start,
ferret,1653221501.5123603,update,2-3
ferret,1653221521.686853,update,1-2-3
ferret,1653221561.9348788,update,2-3
ferret,1653221621.282898,update,1-2-3
ferret,1653221631.4100506,update,2-3
ferret,1653221651.6150062,update,1-2-3
ferret,1653221661.7297454,update,2-3
ferret,1653221722.0788708,update,1-2-3
ferret,1653221761.334896,update,2-3
ferret,1653221771.4471438,update,1-2-3
ferret,1653221805.6683517,update,2-3
ferret,1653221881.0430524,update,1-2-3
ferret,1653221941.3632104,update,2-3
ferret,1653221951.490903,update,1-2-3
ferret,1653221968.5590692,exit,
freqmine,1653222032.824175,update,2-3
