freqmine,1653173141.1143048,create,
fft,1653173141.1484632,create,
canneal,1653173141.1795259,create,
ferret,1653173141.2157626,create,
blackscholes,1653173141.2506049,create,
dedup,1653173141.2842674,create,
ferret,1653173141.544086,start,
ferret,1653173610.503024,exit,
canneal,1653173610.7447643,start,
canneal,1653173801.5546849,exit,
freqmine,1653173801.827674,start,
freqmine,1653174074.9107506,exit,
blackscholes,1653174075.1427114,start,
blackscholes,1653174219.5599866,exit,
fft,1653174219.7989645,start,
fft,1653174338.3410885,exit,
dedup,1653174338.577124,start,
dedup,1653174378.3295133,exit,
