freqmine,1653043424.5529897,create,
fft,1653043424.5904534,create,
canneal,1653043424.6250346,create,
ferret,1653043424.6638439,create,
blackscholes,1653043424.694183,create,
dedup,1653043424.7281492,create,
ferret,1653043424.9873307,start,
ferret,1653043908.0501523,exit,
canneal,1653043908.337005,start,
canneal,1653044120.303203,exit,
freqmine,1653044120.5910683,start,
freqmine,1653044408.9368892,exit,
blackscholes,1653044409.233706,start,
blackscholes,1653044569.233887,exit,
fft,1653044569.50939,start,
fft,1653044685.1363711,exit,
dedup,1653044685.3779843,start,
dedup,1653044733.9791543,exit,
